Time [s],Ch 1 [C],Ch 2 [C],Ch 3 [C],Ch 4 [C],Ch 5 [C],Ch 6 [C],Ch 7 [C],Ch 8 [C],Ch 9 [C],Ch 10 [C],Ch 11 [C],Ch 12 [C],Ch 13 [C],Ch 14 [C],Ch 15 [C],T_Jet [C],Ch 16 [C],Ch 17 [C],Ch 18 [C],Ch 19 [C],Ch 20 [C],Ch 21 [C],Ch 22 [C],Ch 23 [C],Ch 25 [C],Ch 26 [C],Ch 27 [C],Ch 28 [C],Ch 29 [C],Ch 30 [C],Ch 31 [C],T_ambient [C],T_Heat Flux [C],Heat Flux [W/m^2],P_heater [W]
135.062,57.388,57.499,57.686,57.597,57.62,57.62,57.532,57.495,57.436,57.474,57.471,57.572,57.54,57.481,57.477,34.547,57.665,57.812,57.763,57.805,57.856,57.834,57.696,57.683,57.686,57.615,57.488,57.562,57.53,57.384,57.154,26.63,58.792,0.068,99.907
137.703,57.439,57.568,57.744,57.642,57.696,57.691,57.591,57.551,57.472,57.544,57.522,57.639,57.604,57.555,57.525,34.54,57.72,57.891,57.837,57.886,57.933,57.897,57.771,57.746,57.745,57.688,57.558,57.623,57.593,57.449,57.217,26.64,58.867,0.076,99.906
140.359,57.346,57.628,57.817,57.724,57.747,57.753,57.659,57.62,57.537,57.609,57.58,57.677,57.655,57.6,57.582,34.549,57.78,57.925,57.876,57.934,57.975,57.941,57.829,57.806,57.816,57.751,57.613,57.688,57.657,57.516,57.285,26.662,58.948,0.087,99.908
143.016,56.508,57.505,57.863,57.781,57.803,57.816,57.726,57.687,57.619,57.571,57.635,57.748,57.731,57.683,57.656,34.464,57.853,57.825,57.926,58.003,58.036,58.014,57.886,57.891,57.749,57.813,57.669,57.788,57.726,57.576,57.356,26.688,59.044,0.095,99.905
145.656,55.911,57.299,57.902,57.793,57.852,57.886,57.797,57.769,57.668,57.504,57.625,57.778,57.778,57.737,57.715,34.272,57.909,57.627,57.906,58.019,58.092,58.09,57.944,57.941,57.646,57.783,57.696,57.827,57.803,57.629,57.417,26.678,59.1,0.086,99.904
148.312,55.235,56.928,57.853,57.738,57.824,57.884,57.795,57.784,57.714,57.177,57.506,57.708,57.76,57.746,57.739,33.876,57.966,57.165,57.686,57.928,58.064,58.062,57.968,57.98,57.317,57.662,57.649,57.835,57.827,57.681,57.477,26.691,59.194,0.091,99.904
150.953,54.559,56.399,57.808,57.631,57.787,57.882,57.795,57.802,57.755,56.881,57.383,57.657,57.732,57.744,57.75,33.595,57.99,56.753,57.507,57.84,58.012,58.046,57.958,57.968,57.019,57.533,57.577,57.784,57.815,57.687,57.495,26.719,59.281,0.099,99.903
153.609,53.834,55.826,57.736,57.482,57.705,57.82,57.766,57.792,57.759,56.465,57.151,57.508,57.629,57.665,57.727,33.292,57.956,56.212,57.293,57.71,57.929,57.994,57.94,57.972,56.595,57.333,57.454,57.708,57.774,57.661,57.487,26.729,59.362,0.111,99.901
156.266,53.221,55.327,57.641,57.341,57.587,57.757,57.74,57.79,57.749,56.086,56.967,57.397,57.56,57.637,57.703,33.061,57.948,55.736,57.042,57.567,57.852,57.957,57.92,57.951,56.193,57.115,57.308,57.625,57.712,57.637,57.471,26.748,59.421,0.154,99.9
158.906,52.543,54.783,57.548,57.141,57.466,57.691,57.68,57.757,57.728,55.668,56.737,57.249,57.469,57.582,57.666,32.778,57.913,55.209,56.758,57.388,57.737,57.873,57.847,57.933,55.735,56.887,57.137,57.524,57.667,57.592,57.439,26.742,59.505,0.163,99.898
161.562,51.821,54.131,57.391,56.881,57.277,57.565,57.571,57.703,57.694,55.129,56.414,57.033,57.338,57.483,57.6,32.464,57.869,54.54,56.367,57.148,57.574,57.751,57.775,57.861,55.166,56.54,56.895,57.371,57.552,57.514,57.38,26.764,59.596,0.162,99.899
164.203,51.193,53.597,57.207,56.673,57.131,57.454,57.51,57.64,57.64,54.659,56.143,56.884,57.227,57.432,57.555,32.204,57.837,54.027,56.036,56.938,57.437,57.667,57.716,57.822,54.767,56.286,56.703,57.252,57.466,57.441,57.34,26.77,59.649,0.141,99.898
166.859,50.717,53.161,57.03,56.443,56.984,57.364,57.439,57.602,57.603,54.265,55.889,56.714,57.108,57.331,57.497,32.023,57.788,53.557,55.735,56.74,57.318,57.568,57.65,57.786,54.357,56.011,56.497,57.104,57.371,57.378,57.277,26.799,59.72,0.152,99.897
169.516,50.325,52.805,56.882,56.267,56.847,57.269,57.367,57.556,57.573,53.912,55.653,56.572,57.022,57.253,57.439,31.841,57.758,53.188,55.448,56.562,57.174,57.485,57.597,57.754,54.032,55.779,56.32,56.981,57.296,57.326,57.247,26.821,59.789,0.168,99.897
172.156,49.984,52.492,56.747,56.096,56.732,57.204,57.308,57.519,57.543,53.59,55.439,56.424,56.919,57.193,57.388,31.695,57.72,52.853,55.208,56.393,57.073,57.398,57.541,57.707,53.758,55.575,56.164,56.882,57.244,57.273,57.186,26.828,59.861,0.146,99.897
174.812,49.722,52.252,56.608,55.948,56.623,57.128,57.272,57.489,57.521,53.293,55.242,56.299,56.822,57.12,57.35,31.582,57.673,52.592,55.002,56.252,56.989,57.328,57.488,57.665,53.55,55.41,56.015,56.788,57.173,57.231,57.152,26.853,59.929,0.141,99.897
177.453,49.51,52.063,56.487,55.827,56.53,57.047,57.213,57.451,57.5,53.099,55.08,56.186,56.753,57.084,57.32,31.483,57.649,52.425,54.847,56.143,56.896,57.283,57.466,57.655,53.384,55.267,55.9,56.729,57.127,57.177,57.104,26.894,59.985,0.164,99.896
180.109,49.346,51.905,56.393,55.712,56.451,56.984,57.165,57.417,57.458,52.906,54.927,56.076,56.667,57.009,57.266,31.386,57.611,52.221,54.672,56.02,56.825,57.209,57.43,57.62,53.209,55.121,55.769,56.616,57.074,57.13,57.078,26.875,60.044,0.158,99.897
182.75,49.221,51.76,56.288,55.597,56.354,56.916,57.131,57.364,57.434,52.714,54.77,55.981,56.586,56.991,57.245,31.298,57.584,52.068,54.528,55.907,56.718,57.176,57.381,57.596,53.058,55.002,55.678,56.547,57.007,57.096,57.029,26.894,60.116,0.146,99.897
185.406,49.1,51.641,56.204,55.492,56.282,56.861,57.078,57.334,57.4,52.575,54.651,55.896,56.526,56.915,57.191,31.218,57.548,51.941,54.407,55.81,56.66,57.094,57.329,57.558,52.937,54.897,55.583,56.473,56.959,57.07,56.999,26.914,60.182,0.138,99.895
188.062,48.991,51.548,56.105,55.4,56.195,56.807,57.038,57.305,57.369,52.458,54.546,55.807,56.459,56.88,57.166,31.156,57.524,51.83,54.3,55.713,56.583,57.059,57.304,57.518,52.848,54.803,55.496,56.414,56.909,57.029,56.946,26.942,60.231,0.147,99.896
190.703,48.889,51.448,56.035,55.321,56.141,56.748,56.967,57.269,57.337,52.35,54.452,55.748,56.422,56.835,57.136,31.101,57.504,51.745,54.181,55.63,56.535,57.011,57.276,57.507,52.769,54.718,55.422,56.354,56.864,56.975,56.926,26.952,60.303,0.148,99.896
193.344,48.85,51.404,55.99,55.28,56.086,56.698,56.963,57.239,57.319,52.25,54.352,55.692,56.352,56.791,57.09,31.035,57.465,51.65,54.113,55.559,56.48,56.956,57.226,57.465,52.704,54.653,55.353,56.309,56.822,56.949,56.9,26.936,60.334,0.127,99.896
196,48.774,51.31,55.933,55.193,56.019,56.653,56.907,57.199,57.277,52.139,54.257,55.609,56.292,56.751,57.056,30.986,57.425,51.559,54.018,55.479,56.41,56.922,57.196,57.451,52.61,54.575,55.292,56.241,56.773,56.906,56.862,26.945,60.378,0.148,99.896
198.656,48.704,51.223,55.853,55.125,55.961,56.593,56.852,57.158,57.256,52.046,54.179,55.523,56.245,56.693,57.015,30.944,57.399,51.466,53.919,55.414,56.353,56.868,57.153,57.405,52.519,54.506,55.232,56.188,56.727,56.872,56.817,26.939,60.437,0.131,99.897
201.312,48.639,51.185,55.816,55.058,55.904,56.559,56.83,57.124,57.222,51.971,54.1,55.446,56.187,56.65,56.975,30.889,57.354,51.384,53.842,55.329,56.293,56.815,57.113,57.374,52.489,54.447,55.155,56.148,56.703,56.852,56.799,26.926,60.49,0.145,99.895
203.953,48.581,51.126,55.752,55.018,55.858,56.498,56.774,57.082,57.196,51.889,54.041,55.41,56.156,56.62,56.945,30.843,57.34,51.337,53.802,55.299,56.25,56.781,57.081,57.358,52.42,54.393,55.103,56.104,56.646,56.825,56.747,26.91,60.53,0.134,99.895
